date,county,rt,.lower,.upper,.width,.point
2022-07-26,Santa Barbara,0.9672542896572622,0.9034170916613584,1.0338473481728814,0.5,median
2022-08-02,Santa Barbara,0.9197212084060782,0.8581073642626644,0.9831842359904094,0.5,median
2022-08-09,Santa Barbara,0.8650842632510352,0.8078407669064529,0.9278653397698984,0.5,median
2022-08-16,Santa Barbara,0.8215020178776344,0.7647280980663016,0.880102900779786,0.5,median
2022-08-23,Santa Barbara,0.7777054348109078,0.7219377193716381,0.8330061228197225,0.5,median
2022-08-30,Santa Barbara,0.7430650407268957,0.6903423096865842,0.7968109520892704,0.5,median
2022-09-06,Santa Barbara,0.72107778166158365,0.670507649490734,0.7746840340198268,0.5,median
2022-09-13,Santa Barbara,0.7505629296294559,0.6967473054149546,0.8065809351181605,0.5,median
2022-09-20,Santa Barbara,0.796013220845857,0.737890260247186,0.8579791977220808,0.5,median
2022-09-27,Santa Barbara,0.8359583727164113,0.7768940339785061,0.8987056023844255,0.5,median
2022-10-04,Santa Barbara,0.855445124895092,0.7932244167389204,0.9182484996669028,0.5,median
2022-10-11,Santa Barbara,0.8830824045176522,0.8153264516352073,0.951502868821817,0.5,median
2022-10-18,Santa Barbara,0.9421034041291508,0.8766796235552353,1.0157405272775029,0.5,median
2022-10-25,Santa Barbara,1.0281767387992602,0.9559319758488964,1.1052662736356642,0.5,median
2022-11-01,Santa Barbara,1.113471578350406,1.0368481106769871,1.2021465790222758,0.5,median
2022-11-08,Santa Barbara,1.2235127882682226,1.1363229426404542,1.314045183754967,0.5,median
2022-11-15,Santa Barbara,1.3328099775238793,1.2405700390418828,1.4298625494177744,0.5,median
2022-11-22,Santa Barbara,1.37663531635132,1.2783408897729158,1.4825644300757947,0.5,median
2022-11-29,Santa Barbara,1.2980791263510132,1.2090664254481671,1.3993857455247796,0.5,median
2022-12-06,Santa Barbara,1.2222898441385834,1.1391832106274595,1.3097271597982512,0.5,median
2022-12-13,Santa Barbara,1.1505621897324172,1.0761765019002425,1.231845828492676,0.5,median
2022-12-20,Santa Barbara,1.0718399741865126,1.0021646947400815,1.1505918874209198,0.5,median
2022-12-27,Santa Barbara,0.9592714348771,0.8956372632872579,1.029638435229487,0.5,median
2023-01-03,Santa Barbara,0.8600031993137227,0.7979550357067972,0.9240918924762056,0.5,median
2023-01-10,Santa Barbara,0.8081829872101921,0.749316948925698,0.8711500454960555,0.5,median
2023-01-17,Santa Barbara,0.8151922240657626,0.7549844145411697,0.8768819991439172,0.5,median
2023-01-24,Santa Barbara,0.8529073453647209,0.7938995418342529,0.9185612462661874,0.5,median
2023-01-31,Santa Barbara,0.901144873328373,0.8376042067304531,0.9725737439575612,0.5,median
2023-02-07,Santa Barbara,0.9298718834673584,0.8624213704922512,0.9981319808394684,0.5,median
2023-02-14,Santa Barbara,0.9373178272614168,0.8705363534558261,1.0122053798142712,0.5,median
2023-02-21,Santa Barbara,0.9086818267315654,0.8454536026263896,0.9781742077920316,0.5,median
2023-02-28,Santa Barbara,0.8966459407292251,0.8325670214770291,0.9622844705772056,0.5,median
2023-03-07,Santa Barbara,0.8992446959074785,0.8346330632832796,0.965500757487086,0.5,median
2023-03-14,Santa Barbara,0.8887052102844513,0.8241910712296994,0.961866143680377,0.5,median
2023-03-21,Santa Barbara,0.9192939262257864,0.8506756803802359,0.9888004076395758,0.5,median
2023-03-28,Santa Barbara,0.9735187680226254,0.9011500307333368,1.0499941694405408,0.5,median
2023-04-04,Santa Barbara,0.9883797459287892,0.9126976450405904,1.0686511950942872,0.5,median
2023-04-11,Santa Barbara,0.9866243724151826,0.9192628087359752,1.0652499537360924,0.5,median
2023-04-18,Santa Barbara,0.9628913559987686,0.8892754254706193,1.0494805033418857,0.5,median
2023-04-25,Santa Barbara,0.9597470995674796,0.8656504523040729,1.0588220487146502,0.5,median
2023-05-01,Santa Barbara,0.9596503691477888,0.8397359871448301,1.0975475248027786,0.5,median
2021-12-21,Santa Barbara,1.415546056112778,1.116300659140646,1.7833238828637163,0.8,median
2021-12-28,Santa Barbara,1.3149634078614618,1.0638205604620126,1.6267204625384686,0.8,median
2022-01-04,Santa Barbara,1.1403791620884536,0.97059272059607,1.3452593631968075,0.8,median
