county,time,date,cases,est_cases,est_omicron_cases,est_other_cases,tests,est_tests,est_omicron_tests,est_other_tests,hospitalizations,deaths,est_deaths,icu,cum_deaths,cum_est_deaths,prev_cum_deaths,prev_cum_est_deaths
Butte,16,2022-04-04,44,44,43,1,2582,2582,2526,56,8,2,2,1,429,429,427,427
Calaveras,16,2022-04-04,8,8,8,0,589,589,567,22,0,0,0,0,119,119,119,119
Colusa,16,2022-04-04,2,2,2,0,202,202,196,6,0,0,0,0,21,21,21,21
Contra Costa,16,2022-04-04,545,545,521,24,23559,23564,22528,1036,13,1,1,4,1301,1301,1300,1300
Del Norte,16,2022-04-04,8,8,8,0,1118,1118,1080,38,0,0,0,1,49,49,49,49
El Dorado,16,2022-04-04,50,50,48,2,2717,2717,2617,100,0,1,1,1,214,214,213,213
Fresno,16,2022-04-04,188,188,180,8,16783,16784,16091,693,62,4,4,12,2757,2757,2753,2753
Glenn,16,2022-04-04,3,3,3,0,287,287,277,10,0,0,0,0,53,53,53,53
Humboldt,16,2022-04-04,23,23,22,1,2385,2385,2303,82,5,0,0,2,145,145,145,145
Imperial,16,2022-04-04,39,39,37,2,3441,3441,3312,129,3,0,0,2,944,944,944,944
Inyo,16,2022-04-04,9,9,9,0,182,182,176,6,0,0,0,0,56,56,56,56
Kern,16,2022-04-04,152,152,147,5,16751,16752,16237,515,16,2,2,7,2341,2341,2339,2339
Kings,16,2022-04-04,47,47,45,2,4178,4178,4022,156,2,0,0,1,448,448,448,448
Lake,16,2022-04-04,14,14,13,1,973,973,931,42,0,0,0,0,139,139,139,139
Lassen,16,2022-04-04,5,5,5,0,1284,1284,1247,37,0,0,0,0,62,62,62,62
Los Angeles,16,2022-04-04,5461,5461,5404,57,803346,803466,794857,8609,255,47,47,42,31794,31794,31747,31747
Madera,16,2022-04-04,27,27,26,1,3190,3190,3057,133,3,0,0,1,370,370,370,370
Marin,16,2022-04-04,167,167,160,7,6347,6347,6089,258,3,0,0,1,295,295,295,295
Mariposa,16,2022-04-04,7,7,7,0,235,235,225,10,0,0,0,0,28,28,28,28
Mendocino,16,2022-04-04,25,25,24,1,1196,1196,1130,66,2,0,0,0,124,124,124,124
Merced,16,2022-04-04,58,58,56,2,3350,3350,3243,107,2,2,2,0,818,818,816,816
Modoc,16,2022-04-04,4,4,4,0,43,43,42,1,0,0,0,0,7,7,7,7
Mono,16,2022-04-04,1,1,1,0,142,142,133,9,0,0,0,0,6,6,6,6
Monterey,16,2022-04-04,128,128,120,8,7489,7489,7009,480,8,3,3,0,728,728,725,725
Napa,16,2022-04-04,75,75,73,2,3146,3146,3058,88,1,0,0,1,143,143,143,143
Nevada,16,2022-04-04,30,30,29,1,1447,1447,1388,59,1,1,1,0,131,131,130,130
Orange,16,2022-04-04,989,989,965,24,81527,81540,79508,2032,56,17,17,14,7101,7101,7084,7084
Placer,16,2022-04-04,129,129,123,6,6693,6693,6394,299,19,1,1,5,625,625,624,624
Plumas,16,2022-04-04,4,4,4,0,235,235,225,10,0,0,0,0,13,13,13,13
Riverside,16,2022-04-04,692,692,670,22,38907,38912,37639,1273,36,5,5,8,6447,6447,6442,6442
Sacramento,16,2022-04-04,430,430,415,15,32897,32902,31746,1156,50,8,8,11,3044,3044,3036,3036
San Benito,16,2022-04-04,13,13,13,0,1187,1187,1153,34,0,0,0,0,94,94,94,94
San Bernardino,16,2022-04-04,613,613,597,16,42056,42061,40943,1118,32,11,11,13,7805,7805,7794,7794
San Diego,16,2022-04-04,1544,1544,1527,17,66685,66697,65953,744,88,7,7,29,5336,5336,5329,5329
San Francisco,16,2022-04-04,1001,1001,932,69,28768,28773,26763,2010,20,1,1,3,866,866,865,865
San Joaquin,16,2022-04-04,228,228,219,9,15696,15697,15093,604,9,2,2,8,2248,2248,2246,2246
San Luis Obispo,16,2022-04-04,99,99,96,3,5382,5382,5220,162,2,1,1,1,478,478,477,477
San Mateo,16,2022-04-04,724,724,706,18,29370,29375,28649,726,14,2,2,1,703,703,701,701
Santa Barbara,16,2022-04-04,187,187,181,6,15277,15278,14761,517,7,2,2,1,689,689,687,687
Santa Clara,16,2022-04-04,1492,1492,1474,18,88302,88316,87257,1059,89,2,2,18,2298,2298,2296,2296
Santa Cruz,16,2022-04-04,210,210,204,6,16701,16704,16214,490,4,0,0,2,259,259,259,259
Shasta,16,2022-04-04,29,29,28,1,3320,3320,3203,117,4,1,1,2,559,559,558,558
Siskiyou,16,2022-04-04,2,2,2,0,294,294,286,8,0,0,0,0,83,83,83,83
Solano,16,2022-04-04,173,173,167,6,10220,10220,9884,336,21,1,1,4,449,449,448,448
Sonoma,16,2022-04-04,330,330,320,10,10654,10654,10310,344,9,1,1,1,490,490,489,489
Stanislaus,16,2022-04-04,113,113,107,6,7961,7961,7563,398,21,3,3,5,1690,1690,1687,1687
Sutter,16,2022-04-04,24,24,23,1,1324,1324,1280,44,0,0,0,0,224,224,224,224
Tehama,16,2022-04-04,6,6,6,0,765,765,728,37,0,1,1,0,207,207,206,206
Trinity,16,2022-04-04,1,1,1,0,87,87,83,4,0,0,0,0,20,20,20,20
Tulare,16,2022-04-04,48,48,46,2,7740,7740,7344,396,13,3,3,0,1492,1492,1489,1489
Tuolumne,16,2022-04-04,10,10,10,0,1034,1034,991,43,1,1,1,0,183,183,182,182
Ventura,16,2022-04-04,298,298,291,7,20329,20332,19868,464,19,5,5,5,1500,1500,1495,1495
Yolo,16,2022-04-04,104,104,101,3,26258,26263,25476,787,0,0,0,0,360,360,360,360
Yuba,16,2022-04-04,11,11,11,0,1071,1071,1037,34,4,0,0,1,119,119,119,119
Alameda,17,2022-04-11,1493,1493,1463,30,49842,49855,48826,1029,51,6,6,2,1873,1873,1867,1867
Amador,17,2022-04-11,9,9,9,0,1068,1068,1032,36,1,0,0,0,86,86,86,86
Butte,17,2022-04-11,33,33,32,1,2262,2262,2224,38,3,0,0,1,429,429,429,429
Calaveras,17,2022-04-11,14,14,14,0,649,649,630,19,0,0,0,0,119,119,119,119
Colusa,17,2022-04-11,6,6,6,0,203,203,198,5,0,0,0,0,21,21,21,21
Contra Costa,17,2022-04-11,713,713,689,24,20841,20846,20136,710,15,1,1,5,1302,1302,1301,1301
Del Norte,17,2022-04-11,9,9,9,0,1012,1012,985,27,0,0,0,0,49,49,49,49
El Dorado,17,2022-04-11,48,48,47,1,2508,2508,2436,72,1,0,0,0,214,214,214,214
Fresno,17,2022-04-11,196,196,190,6,15712,15715,15203,512,54,3,3,6,2760,2760,2757,2757
Glenn,17,2022-04-11,2,2,2,0,258,258,251,7,0,0,0,0,53,53,53,53
Humboldt,17,2022-04-11,46,46,45,1,2347,2347,2284,63,5,1,1,2,146,146,145,145
Imperial,17,2022-04-11,28,28,27,1,3442,3442,3341,101,2,1,1,1,945,945,944,944
Inyo,17,2022-04-11,4,4,4,0,188,188,183,5,0,0,0,0,56,56,56,56
Kern,17,2022-04-11,135,135,132,3,16366,16371,15973,398,20,2,2,6,2343,2343,2341,2341
Kings,17,2022-04-11,31,31,30,1,4161,4161,4039,122,3,0,0,0,448,448,448,448
Lake,17,2022-04-11,22,22,21,1,869,869,840,29,0,0,0,0,139,139,139,139
Lassen,17,2022-04-11,1,1,1,0,1292,1292,1263,29,1,0,0,0,62,62,62,62
Los Angeles,17,2022-04-11,6736,6736,6681,55,675658,675790,670083,5707,234,46,46,36,31840,31840,31794,31794
Madera,17,2022-04-11,29,29,28,1,3076,3076,2975,101,4,0,0,2,370,370,370,370
Marin,17,2022-04-11,214,214,207,7,5555,5555,5379,176,6,0,0,1,295,295,295,295
Mariposa,17,2022-04-11,7,7,7,0,246,246,237,9,0,0,0,0,28,28,28,28
Mendocino,17,2022-04-11,32,32,31,1,1158,1158,1108,50,0,0,0,0,124,124,124,124
Merced,17,2022-04-11,68,68,66,2,3222,3222,3141,81,6,2,2,0,820,820,818,818
Modoc,17,2022-04-11,0,0,0,0,40,40,39,1,0,0,0,0,7,7,7,7
Mono,17,2022-04-11,9,9,9,0,170,170,161,9,0,0,0,0,6,6,6,6
Monterey,17,2022-04-11,109,109,103,6,6890,6890,6540,350,9,2,2,0,730,730,728,728
Napa,17,2022-04-11,120,120,117,3,2802,2802,2740,62,1,0,0,0,143,143,143,143
Nevada,17,2022-04-11,45,45,44,1,1431,1431,1385,46,2,0,0,0,131,131,131,131
Orange,17,2022-04-11,1165,1165,1143,22,62009,62023,60844,1179,70,9,9,16,7110,7110,7101,7101
Placer,17,2022-04-11,126,126,122,4,5632,5632,5433,199,18,2,2,2,627,627,625,625
Plumas,17,2022-04-11,7,7,7,0,247,247,239,8,0,0,0,0,13,13,13,13
Riverside,17,2022-04-11,728,728,710,18,37777,37783,36813,970,35,5,5,9,6452,6452,6447,6447
Sacramento,17,2022-04-11,508,508,494,14,30138,30143,29310,833,47,11,11,5,3055,3055,3044,3044
San Benito,17,2022-04-11,16,16,16,0,1182,1182,1155,27,0,0,0,0,94,94,94,94
San Bernardino,17,2022-04-11,916,916,897,19,42013,42019,41143,876,33,5,5,7,7810,7810,7805,7805
San Diego,17,2022-04-11,1833,1833,1817,16,74105,74118,73470,648,91,4,4,22,5340,5340,5336,5336
San Francisco,17,2022-04-11,1182,1182,1117,65,29898,29903,28247,1656,19,6,6,4,872,872,866,866
San Joaquin,17,2022-04-11,221,221,214,7,15222,15225,14764,461,10,0,0,1,2248,2248,2248,2248
San Luis Obispo,17,2022-04-11,120,120,117,3,4908,4908,4792,116,2,1,1,0,479,479,478,478
San Mateo,17,2022-04-11,858,858,842,16,30382,30387,29796,591,8,2,2,1,705,705,703,703
Santa Barbara,17,2022-04-11,303,303,295,8,15120,15123,14721,402,6,2,2,1,691,691,689,689
Santa Clara,17,2022-04-11,1662,1662,1647,15,81519,81535,80775,760,61,4,4,13,2302,2302,2298,2298
Santa Cruz,17,2022-04-11,328,328,321,7,10999,11000,10759,241,7,1,1,0,260,260,259,259
Shasta,17,2022-04-11,18,18,18,0,3123,3123,3036,87,2,1,1,1,560,560,559,559
Siskiyou,17,2022-04-11,1,1,1,0,340,340,332,8,0,0,0,0,83,83,83,83
Solano,17,2022-04-11,249,249,243,6,9417,9417,9174,243,16,0,0,1,449,449,449,449
Sonoma,17,2022-04-11,416,416,406,10,10686,10686,10416,270,8,1,1,0,491,491,490,490
Stanislaus,17,2022-04-11,124,124,119,5,7639,7639,7338,301,22,1,1,1,1691,1691,1690,1690
Sutter,17,2022-04-11,20,20,19,1,1237,1237,1204,33,0,1,1,0,225,225,224,224
Tehama,17,2022-04-11,9,9,9,0,753,753,724,29,1,0,0,0,207,207,207,207
Trinity,17,2022-04-11,0,0,0,0,77,77,74,3,0,0,0,0,20,20,20,20
Tulare,17,2022-04-11,58,58,56,2,7841,7841,7524,317,11,3,3,0,1495,1495,1492,1492
Tuolumne,17,2022-04-11,22,22,21,1,1062,1062,1027,35,1,0,0,0,183,183,183,183
Ventura,17,2022-04-11,323,323,317,6,17587,17592,17279,313,16,2,2,2,1502,1502,1500,1500
Yolo,17,2022-04-11,130,130,127,3,18075,18080,17660,420,1,0,0,0,360,360,360,360
Yuba,17,2022-04-11,15,15,15,0,1019,1019,994,25,2,0,0,0,119,119,119,119
Alameda,18,2022-04-18,1781,1781,1752,29,54180,54194,53312,882,42,4,4,4,1877,1877,1873,1873
Amador,18,2022-04-18,12,12,12,0,1194,1194,1162,32,2,0,0,0,86,86,86,86
Butte,18,2022-04-18,47,47,46,1,2267,2267,2237,30,5,2,2,0,431,431,429,429
Calaveras,18,2022-04-18,16,16,16,0,579,579,566,13,0,1,1,0,120,120,119,119
Colusa,18,2022-04-18,3,3,3,0,157,157,154,3,0,0,0,0,21,21,21,21
Contra Costa,18,2022-04-18,1050,1050,1022,28,24754,24759,24090,669,26,1,1,5,1303,1303,1302,1302
Del Norte,18,2022-04-18,13,13,13,0,1010,1010,989,21,0,0,0,0,49,49,49,49
El Dorado,18,2022-04-18,66,66,65,1,2455,2455,2400,55,0,0,0,0,214,214,214,214
Fresno,18,2022-04-18,247,247,241,6,13859,13862,13511,351,42,4,4,5,2764,2764,2760,2760
Glenn,18,2022-04-18,4,4,4,0,278,278,272,6,0,0,0,0,53,53,53,53
Humboldt,18,2022-04-18,107,107,105,2,2052,2052,2009,43,4,1,1,2,147,147,146,146
Imperial,18,2022-04-18,49,49,48,1,3211,3211,3137,74,2,0,0,1,945,945,945,945
Inyo,18,2022-04-18,2,2,2,0,164,164,161,3,0,0,0,0,56,56,56,56
Kern,18,2022-04-18,150,150,147,3,13634,13637,13380,257,9,1,1,5,2344,2344,2343,2343
Kings,18,2022-04-18,44,44,43,1,3580,3580,3498,82,3,1,1,1,449,449,448,448
Lake,18,2022-04-18,16,16,16,0,782,782,762,20,2,1,1,1,140,140,139,139
Lassen,18,2022-04-18,1,1,1,0,1340,1340,1316,24,0,0,0,0,62,62,62,62
Los Angeles,18,2022-04-18,8318,8319,8266,53,469198,469317,466345,2972,200,35,35,26,31875,31875,31840,31840
Madera,18,2022-04-18,23,23,22,1,2521,2521,2456,65,2,0,0,2,370,370,370,370
Marin,18,2022-04-18,322,322,314,8,5992,5992,5842,150,6,0,0,0,295,295,295,295
Mariposa,18,2022-04-18,18,18,18,0,248,248,241,7,0,0,0,0,28,28,28,28
Mendocino,18,2022-04-18,53,53,51,2,1285,1285,1241,44,0,1,1,0,125,125,124,124
Merced,18,2022-04-18,65,65,64,1,3047,3047,2987,60,3,2,2,0,822,822,820,820
Modoc,18,2022-04-18,1,1,1,0,40,40,39,1,0,0,0,0,7,7,7,7
Mono,18,2022-04-18,9,9,9,0,122,122,117,5,0,0,0,0,6,6,6,6
Monterey,18,2022-04-18,157,157,151,6,6522,6522,6263,259,2,1,1,0,731,731,730,730
Napa,18,2022-04-18,164,164,161,3,2860,2860,2811,49,1,0,0,0,143,143,143,143
Nevada,18,2022-04-18,41,41,40,1,1260,1260,1228,32,1,0,0,0,131,131,131,131
Orange,18,2022-04-18,1446,1446,1425,21,79768,79788,78580,1208,50,6,6,10,7116,7116,7110,7110
Placer,18,2022-04-18,161,161,157,4,4800,4800,4668,132,30,0,0,3,627,627,627,627
Plumas,18,2022-04-18,6,6,6,0,225,225,219,6,0,0,0,0,13,13,13,13
Riverside,18,2022-04-18,938,938,919,19,36721,36730,35990,740,36,7,7,7,6459,6459,6452,6452
Sacramento,18,2022-04-18,715,715,700,15,27855,27861,27260,601,47,9,9,8,3064,3064,3055,3055
San Benito,18,2022-04-18,24,24,24,0,1170,1170,1149,21,0,0,0,0,94,94,94,94
San Bernardino,18,2022-04-18,1058,1058,1041,17,40086,40097,39443,654,35,7,7,8,7817,7817,7810,7810
San Diego,18,2022-04-18,2047,2047,2033,14,67090,67106,66648,458,78,9,9,17,5349,5349,5340,5340
San Francisco,18,2022-04-18,1440,1440,1378,62,30566,30573,29236,1337,27,2,2,2,874,874,872,872
San Joaquin,18,2022-04-18,248,248,242,6,14729,14733,14383,350,8,1,1,4,2249,2249,2248,2248
San Luis Obispo,18,2022-04-18,180,180,177,3,4959,4959,4868,91,2,2,2,0,481,481,479,479
San Mateo,18,2022-04-18,1153,1153,1136,17,30636,30642,30178,464,15,2,2,2,707,707,705,705
Santa Barbara,18,2022-04-18,299,299,293,6,14686,14691,14385,306,8,0,0,0,691,691,691,691
Santa Clara,18,2022-04-18,2238,2238,2222,16,71272,71290,70769,521,67,4,4,16,2306,2306,2302,2302
Santa Cruz,18,2022-04-18,438,438,430,8,12234,12236,12021,215,3,0,0,1,260,260,260,260
Shasta,18,2022-04-18,32,32,31,1,2849,2849,2787,62,2,1,1,2,561,561,560,560
Siskiyou,18,2022-04-18,8,8,8,0,318,318,312,6,0,0,0,0,83,83,83,83
Solano,18,2022-04-18,254,254,249,5,9327,9328,9139,189,6,1,1,1,450,450,449,449
Sonoma,18,2022-04-18,502,502,492,10,11184,11186,10963,223,16,1,1,4,492,492,491,491
Stanislaus,18,2022-04-18,162,162,157,5,7666,7667,7428,239,15,0,0,3,1691,1691,1691,1691
Sutter,18,2022-04-18,24,24,24,0,1173,1173,1149,24,0,0,0,0,225,225,225,225
Tehama,18,2022-04-18,7,7,7,0,685,685,664,21,1,0,0,0,207,207,207,207
Trinity,18,2022-04-18,1,1,1,0,72,72,70,2,0,0,0,0,20,20,20,20
Tulare,18,2022-04-18,77,77,75,2,6658,6658,6448,210,13,0,0,0,1495,1495,1495,1495
Tuolumne,18,2022-04-18,26,26,25,1,1025,1025,999,26,1,0,0,0,183,183,183,183
Ventura,18,2022-04-18,367,367,362,5,16412,16416,16189,227,8,3,3,0,1505,1505,1502,1502
Yolo,18,2022-04-18,217,217,213,4,17914,17919,17590,329,2,1,1,0,361,361,360,360
Yuba,18,2022-04-18,28,28,27,1,996,996,977,19,1,0,0,1,119,119,119,119
Alameda,19,2022-04-25,2539,2539,2507,32,60891,60911,60143,768,44,6,6,4,1883,1883,1877,1877
Amador,19,2022-04-25,26,26,25,1,1316,1316,1289,27,0,0,0,0,86,86,86,86
Butte,19,2022-04-25,66,66,65,1,2596,2596,2569,27,5,1,1,1,432,432,431,431
Calaveras,19,2022-04-25,34,34,33,1,688,688,676,12,0,0,0,0,120,120,120,120
Colusa,19,2022-04-25,3,3,3,0,199,199,196,3,0,0,0,0,21,21,21,21
Contra Costa,19,2022-04-25,1509,1509,1477,32,27265,27274,26700,574,25,3,3,3,1306,1306,1303,1303
Del Norte,19,2022-04-25,25,25,25,0,1104,1104,1086,18,0,0,0,0,49,49,49,49
El Dorado,19,2022-04-25,103,103,101,2,2648,2648,2601,47,1,0,0,0,214,214,214,214
Fresno,19,2022-04-25,336,336,329,7,15799,15804,15489,315,34,3,3,2,2767,2767,2764,2764
Glenn,19,2022-04-25,4,4,4,0,287,287,282,5,0,0,0,0,53,53,53,53
Humboldt,19,2022-04-25,168,168,165,3,2853,2853,2806,47,2,0,0,2,147,147,147,147
Imperial,19,2022-04-25,65,65,64,1,3508,3508,3445,63,4,0,0,1,945,945,945,945
Inyo,19,2022-04-25,7,7,7,0,194,194,191,3,0,0,0,0,56,56,56,56
Kern,19,2022-04-25,251,251,247,4,18299,18305,18034,271,14,2,2,4,2346,2346,2344,2344
Kings,19,2022-04-25,54,54,53,1,4515,4515,4434,81,3,0,0,1,449,449,449,449
Lake,19,2022-04-25,21,21,21,0,887,887,869,18,0,0,0,0,140,140,140,140
Lassen,19,2022-04-25,1,1,1,0,1556,1556,1534,22,0,0,0,0,62,62,62,62
Los Angeles,19,2022-04-25,11370,11375,11318,57,884898,885179,880693,4486,207,29,29,25,31904,31904,31875,31875
Madera,19,2022-04-25,44,44,43,1,2916,2916,2857,59,2,0,0,0,370,370,370,370
Marin,19,2022-04-25,329,329,323,6,6440,6441,6315,126,7,0,0,0,295,295,295,295
Mariposa,19,2022-04-25,9,9,9,0,205,205,201,4,0,0,0,0,28,28,28,28
Mendocino,19,2022-04-25,55,55,54,1,1254,1254,1220,34,0,1,1,0,126,126,125,125
Merced,19,2022-04-25,99,99,98,1,3030,3030,2984,46,5,0,0,0,822,822,822,822
Modoc,19,2022-04-25,1,1,1,0,41,41,40,1,0,0,0,0,7,7,7,7
Mono,19,2022-04-25,4,4,4,0,94,94,91,3,0,0,0,0,6,6,6,6
Monterey,19,2022-04-25,323,323,313,10,8007,8008,7758,250,5,1,1,0,732,732,731,731
Napa,19,2022-04-25,199,199,196,3,3376,3376,3330,46,2,0,0,0,143,143,143,143
Nevada,19,2022-04-25,52,52,51,1,1399,1399,1371,28,1,0,0,1,131,131,131,131
Orange,19,2022-04-25,1970,1970,1947,23,86618,86646,85623,1023,53,7,7,13,7123,7123,7116,7116
Placer,19,2022-04-25,239,239,234,5,6091,6092,5960,132,18,0,0,4,627,627,627,627
Plumas,19,2022-04-25,2,2,2,0,228,228,223,5,0,0,0,0,13,13,13,13
Riverside,19,2022-04-25,1304,1304,1284,20,40533,40546,39907,639,33,4,4,5,6463,6463,6459,6459
Sacramento,19,2022-04-25,1023,1023,1006,17,31869,31881,31342,539,44,4,4,4,3068,3068,3064,3064
San Benito,19,2022-04-25,34,34,34,0,1118,1118,1102,16,0,0,0,0,94,94,94,94
San Bernardino,19,2022-04-25,1293,1293,1277,16,42976,42989,42441,548,21,10,10,7,7827,7827,7817,7817
San Diego,19,2022-04-25,3013,3013,2997,16,74324,74349,73953,396,86,5,5,10,5354,5354,5349,5349
San Francisco,19,2022-04-25,2001,2001,1933,68,32532,32545,31428,1117,23,1,1,3,875,875,874,874
San Joaquin,19,2022-04-25,387,387,380,7,15463,15468,15179,289,12,0,0,1,2249,2249,2249,2249
San Luis Obispo,19,2022-04-25,209,209,206,3,5036,5036,4963,73,6,0,0,0,481,481,481,481
San Mateo,19,2022-04-25,1538,1538,1520,18,32870,32880,32492,388,14,1,1,3,708,708,707,707
Santa Barbara,19,2022-04-25,371,371,365,6,15227,15232,14985,247,7,2,2,1,693,693,691,691
Santa Clara,19,2022-04-25,3142,3142,3124,18,77133,77157,76723,434,73,4,4,9,2310,2310,2306,2306
Santa Cruz,19,2022-04-25,474,474,468,6,20467,20473,20191,282,4,1,1,0,261,261,260,260
Shasta,19,2022-04-25,48,48,47,1,3317,3317,3261,56,3,0,0,1,561,561,561,561
Siskiyou,19,2022-04-25,7,7,7,0,322,322,318,4,0,0,0,0,83,83,83,83
Solano,19,2022-04-25,479,479,471,8,10651,10655,10487,168,11,0,0,2,450,450,450,450
Sonoma,19,2022-04-25,674,674,664,10,12065,12070,11882,188,19,0,0,2,492,492,492,492
Stanislaus,19,2022-04-25,241,241,235,6,7899,7900,7708,192,25,4,4,0,1695,1695,1691,1691
Sutter,19,2022-04-25,39,39,38,1,1399,1399,1376,23,0,1,1,0,226,226,225,225
Tehama,19,2022-04-25,17,17,17,0,711,711,694,17,1,0,0,0,207,207,207,207
Trinity,19,2022-04-25,1,1,1,0,72,72,70,2,0,0,0,0,20,20,20,20
Tulare,19,2022-04-25,93,93,91,2,6912,6913,6741,172,11,1,1,0,1496,1496,1495,1495
Tuolumne,19,2022-04-25,43,43,42,1,1124,1124,1101,23,2,0,0,0,183,183,183,183
Ventura,19,2022-04-25,604,604,597,7,18901,18907,18702,205,10,1,1,3,1506,1506,1505,1505
Yolo,19,2022-04-25,272,272,268,4,19381,19386,19108,278,1,0,0,0,361,361,361,361
Yuba,19,2022-04-25,31,31,31,0,1106,1106,1089,17,0,0,0,0,119,119,119,119
Alameda,20,2022-05-02,3377,3377,3344,33,68020,68049,67372,677,42,2,2,5,1885,1885,1883,1883
Amador,20,2022-05-02,19,19,19,0,1335,1335,1313,22,0,0,0,0,86,86,86,86
Butte,20,2022-05-02,91,91,90,1,2385,2385,2366,19,4,2,2,0,434,434,432,432
Calaveras,20,2022-05-02,23,23,23,0,727,727,717,10,0,0,0,0,120,120,120,120
Colusa,20,2022-05-02,2,2,2,0,203,203,201,2,0,0,0,0,21,21,21,21
Contra Costa,20,2022-05-02,1879,1879,1848,31,29264,29277,28794,483,40,2,2,5,1308,1308,1306,1306
Del Norte,20,2022-05-02,42,42,41,1,1202,1202,1187,15,1,0,0,0,49,49,49,49
El Dorado,20,2022-05-02,140,140,138,2,2756,2756,2718,38,1,1,1,0,215,215,214,214
Fresno,20,2022-05-02,503,503,495,8,16611,16618,16359,259,42,3,3,4,2770,2770,2767,2767
Glenn,20,2022-05-02,4,4,4,0,252,252,249,3,0,0,0,0,53,53,53,53
Humboldt,20,2022-05-02,269,269,266,3,2941,2941,2903,38,6,0,0,2,147,147,147,147
Imperial,20,2022-05-02,123,123,121,2,3638,3638,3587,51,1,0,0,1,945,945,945,945
Inyo,20,2022-05-02,2,2,2,0,179,179,177,2,0,0,0,0,56,56,56,56
Kern,20,2022-05-02,294,294,291,3,17931,17937,17730,207,10,0,0,5,2346,2346,2346,2346
Kings,20,2022-05-02,59,59,58,1,4847,4847,4779,68,3,0,0,1,449,449,449,449
Lake,20,2022-05-02,29,29,29,0,1003,1003,987,16,1,0,0,0,140,140,140,140
Lassen,20,2022-05-02,8,8,8,0,1608,1608,1590,18,0,0,0,0,62,62,62,62
Los Angeles,20,2022-05-02,14811,14818,14760,58,917593,917983,914339,3644,214,23,23,22,31927,31927,31904,31904
Madera,20,2022-05-02,76,76,75,1,3307,3307,3255,52,5,0,0,0,370,370,370,370
Marin,20,2022-05-02,427,427,421,6,6544,6545,6445,100,10,0,0,0,295,295,295,295
Mariposa,20,2022-05-02,7,7,7,0,244,244,240,4,0,0,0,0,28,28,28,28
Mendocino,20,2022-05-02,60,60,59,1,1222,1222,1196,26,0,0,0,0,126,126,126,126
Merced,20,2022-05-02,131,131,129,2,3284,3284,3245,39,8,4,4,0,826,826,822,822
Modoc,20,2022-05-02,0,0,0,0,36,37,36,1,0,0,0,0,7,7,7,7
Mono,20,2022-05-02,6,6,6,0,106,106,103,3,0,0,0,0,6,6,6,6
Monterey,20,2022-05-02,356,356,347,9,8387,8391,8185,206,8,1,1,0,733,733,732,732
Napa,20,2022-05-02,228,228,226,2,3547,3547,3509,38,4,0,0,0,143,143,143,143
Nevada,20,2022-05-02,80,80,79,1,1535,1535,1511,24,2,0,0,0,131,131,131,131
Orange,20,2022-05-02,2640,2640,2616,24,87495,87530,86721,809,61,5,5,13,7128,7128,7123,7123
Placer,20,2022-05-02,306,306,301,5,6373,6374,6266,108,20,0,0,4,627,627,627,627
Plumas,20,2022-05-02,9,9,9,0,256,256,252,4,0,0,0,0,13,13,13,13
Riverside,20,2022-05-02,2050,2050,2025,25,42957,42975,42445,530,37,3,3,5,6466,6466,6463,6463
Sacramento,20,2022-05-02,1393,1393,1375,18,33656,33670,33226,444,43,5,5,9,3073,3073,3068,3068
San Benito,20,2022-05-02,50,50,49,1,1285,1285,1271,14,0,0,0,0,94,94,94,94
San Bernardino,20,2022-05-02,1490,1490,1475,15,43536,43554,43121,433,30,7,7,6,7834,7834,7827,7827
San Diego,20,2022-05-02,4122,4122,4105,17,72931,72961,72659,302,79,3,3,13,5357,5357,5354,5354
San Francisco,20,2022-05-02,2424,2424,2359,65,35539,35554,34595,959,39,3,3,13,878,878,875,875
San Joaquin,20,2022-05-02,546,546,538,8,15207,15213,14991,222,14,1,1,1,2250,2250,2249,2249
San Luis Obispo,20,2022-05-02,249,249,246,3,5109,5110,5052,58,5,2,2,0,483,483,481,481
San Mateo,20,2022-05-02,1819,1819,1802,17,35990,36005,35671,334,22,2,2,5,710,710,708,708
Santa Barbara,20,2022-05-02,440,440,435,5,15309,15314,15119,195,10,0,0,2,693,693,693,693
Santa Clara,20,2022-05-02,4358,4358,4339,19,96571,96612,96183,429,88,5,5,15,2315,2315,2310,2310
Santa Cruz,20,2022-05-02,678,678,671,7,22027,22036,21798,238,2,1,1,0,262,262,261,261
Shasta,20,2022-05-02,68,68,67,1,3451,3451,3405,46,7,0,0,1,561,561,561,561
Siskiyou,20,2022-05-02,9,9,9,0,329,329,326,3,0,0,0,0,83,83,83,83
Solano,20,2022-05-02,624,624,616,8,11785,11790,11644,146,20,0,0,2,450,450,450,450
Sonoma,20,2022-05-02,898,898,887,11,12794,12799,12644,155,16,1,1,4,493,493,492,492
Stanislaus,20,2022-05-02,269,269,264,5,8083,8085,7931,154,22,0,0,3,1695,1695,1695,1695
Sutter,20,2022-05-02,47,47,46,1,1263,1263,1247,16,0,1,1,0,227,227,226,226
Tehama,20,2022-05-02,17,17,17,0,700,700,687,13,0,0,0,0,207,207,207,207
Trinity,20,2022-05-02,1,1,1,0,84,84,82,2,0,0,0,0,20,20,20,20
Tulare,20,2022-05-02,163,163,160,3,7286,7288,7146,142,10,3,3,0,1499,1499,1496,1496
Tuolumne,20,2022-05-02,94,94,93,1,1298,1298,1278,20,5,0,0,0,183,183,183,183
